timestamp,src_ip,dst_ip,process_name,file_hash,signature_status,outbound_conn_5min,dns_query,log_line,jndi_present,entropy,label
2025-11-28T06:19:55.943372,192.168.1.50,avsvmcloud.com,SolarWinds.Orion.exe,b91ce2f2593f8e8d6a6d0f3b0f,SolarWinds,3,qt68pcmyghjaxzsdi5f0ir4g3qmcoctbw6oggcbljozaoa9ervjk9mwgftia.avsvmcloud.com,Orion Improvement Program beacon,0,7.93,solarwinds_attack
2025-11-28T06:19:55.943463,192.168.1.50,avsvmcloud.com,SolarWinds.Orion.exe,b91ce2f2593f8e8d6a6d0f3b0f,SolarWinds,3,98r0kq8rfzgfugsovhhdhsi3kyu4gsz2pgb0488pz4ex9w3sks619pva2u2g.avsvmcloud.com,Orion Improvement Program beacon,0,8.139,solarwinds_attack
2025-11-28T06:19:55.943516,192.168.1.50,avsvmcloud.com,SolarWinds.Orion.exe,b91ce2f2593f8e8d6a6d0f3b0f,SolarWinds,2,o75bzh5nlt2ui9tj0lkqyogobfxnwrklc8fopkjalqsyxtasjcr9qhed2jmj.avsvmcloud.com,Orion Improvement Program beacon,0,7.831,solarwinds_attack
2025-11-28T06:19:55.943571,192.168.1.50,avsvmcloud.com,SolarWinds.Orion.exe,b91ce2f2593f8e8d6a6d0f3b0f,SolarWinds,4,i1z53fxxt4nne9dpiw1toivu5khsy3kx93hj6e22xzt9khqop2esduwkvwbm.avsvmcloud.com,Orion Improvement Program beacon,0,7.825,solarwinds_attack
2025-11-28T06:19:55.943619,192.168.1.50,avsvmcloud.com,SolarWinds.Orion.exe,b91ce2f2593f8e8d6a6d0f3b0f,SolarWinds,2,7ga8qite5n23cu2cymqgs2cmrwjw9u25pwybx8vpapl9vj1wmbflv0aaaj4s.avsvmcloud.com,Orion Improvement Program beacon,0,8.153,solarwinds_attack
2025-11-28T06:19:55.943673,192.168.1.50,avsvmcloud.com,SolarWinds.Orion.exe,b91ce2f2593f8e8d6a6d0f3b0f,SolarWinds,3,g7s1xfurg1hk92unmzf22zcjz1ezadhzs6dzbhyscylzbvog0zmrugof3cf1.avsvmcloud.com,Orion Improvement Program beacon,0,8.094,solarwinds_attack
2025-11-28T06:19:55.943722,192.168.1.50,avsvmcloud.com,SolarWinds.Orion.exe,b91ce2f2593f8e8d6a6d0f3b0f,SolarWinds,1,hu9q344mnwejadx9puuntdzhl7onjd10ya50q1b0c38mymk2iolwlkbx2mwx.avsvmcloud.com,Orion Improvement Program beacon,0,7.932,solarwinds_attack
2025-11-28T06:19:55.943769,192.168.1.50,avsvmcloud.com,SolarWinds.Orion.exe,b91ce2f2593f8e8d6a6d0f3b0f,SolarWinds,2,x1rmdjt463w713driuidx8s83xo5s64a8cpux7nbkuc1n6txgjpyptuk8ws7.avsvmcloud.com,Orion Improvement Program beacon,0,8.168,solarwinds_attack
2025-11-28T06:19:55.943816,192.168.1.50,avsvmcloud.com,SolarWinds.Orion.exe,b91ce2f2593f8e8d6a6d0f3b0f,SolarWinds,2,ek386hv3xjtp0g634hzs28pyc3i97lkuoyelspjepxusx33pztojy5ptzshr.avsvmcloud.com,Orion Improvement Program beacon,0,7.886,solarwinds_attack
2025-11-28T06:19:55.943863,192.168.1.50,avsvmcloud.com,SolarWinds.Orion.exe,b91ce2f2593f8e8d6a6d0f3b0f,SolarWinds,3,qul08yle9n1n4dnz5xp18dxbsvj6qphl2n5bl9pz92vd95z6u4xjv8qco8ak.avsvmcloud.com,Orion Improvement Program beacon,0,8.184,solarwinds_attack
